dataset,classifier,split,method,selection_metric,validation_score,test_accuracy,test_macro_f1,n_selected,selected_features,n_evaluated_subsets,time_sec
ionosphere,knn5,0,baseline,none,,0.8522727272727273,0.8205490196078431,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,1.8752187000354752
ionosphere,knn5,0,sfs,accuracy,0.9318181818181818,0.8977272727272727,0.8832375055285272,3,"f24,f5,f6",130,0.5857995999976993
ionosphere,knn5,0,sfs,macro_f1,0.8787878787878788,0.8295454545454546,0.8053958425475454,2,"f33,f3",99,0.5992834999924526
ionosphere,knn5,0,sbs,accuracy,0.8977272727272727,0.8522727272727273,0.8205490196078431,29,"f1,f2,f3,f4,f5,f6,f7,f9,f11,f12,f13,f14,f15,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f30,f32,f33,f34",190,1.6725633000023663
ionosphere,knn5,0,sbs,macro_f1,0.8852672750977836,0.8522727272727273,0.8205490196078431,29,"f1,f2,f3,f4,f5,f6,f7,f9,f11,f12,f13,f14,f15,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f30,f32,f33,f34",190,1.9128742000320926
ionosphere,knn5,0,random,accuracy,0.8977272727272727,0.9090909090909091,0.9003961516694963,2,"f5,f32",1156,6.83038120000856
ionosphere,knn5,0,random,macro_f1,0.888748419721871,0.9090909090909091,0.9003961516694963,2,"f5,f32",1156,7.445951799978502
ionosphere,knn5,1,baseline,none,,0.75,0.6848958333333333,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.0087368999957107
ionosphere,knn5,1,sfs,accuracy,0.9659090909090909,0.8977272727272727,0.888748419721871,2,"f5,f10",99,0.32787889998871833
ionosphere,knn5,1,sfs,macro_f1,0.9629161399072903,0.9090909090909091,0.9003961516694963,3,"f5,f10,f6",130,0.5787082999595441
ionosphere,knn5,1,sbs,accuracy,0.9318181818181818,0.7727272727272727,0.7206349206349206,33,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f29,f30,f31,f32,f33,f34",68,0.4848246999899857
