dataset,classifier,split,random_state,method,selection_metric,validation_score,test_accuracy,test_macro_f1,n_selected,selected_features,n_evaluated_subsets,time_sec
ionosphere,knn5,0,42.0,baseline,none,,0.8522727272727273,0.8205490196078431,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,2.0298783001489937
ionosphere,knn5,0,,sfs,accuracy,0.9318181818181818,0.8977272727272727,0.8832375055285272,3,"f24,f5,f6",130,0.3886029999703169
ionosphere,knn5,0,,sfs,macro_f1,0.8787878787878788,0.8295454545454546,0.8053958425475454,2,"f33,f3",99,0.383228600025177
ionosphere,knn5,0,,sbs,accuracy,0.8977272727272727,0.8522727272727273,0.8205490196078431,29,"f1,f2,f3,f4,f5,f6,f7,f9,f11,f12,f13,f14,f15,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f30,f32,f33,f34",190,1.2249075998552144
ionosphere,knn5,0,,sbs,macro_f1,0.8852672750977836,0.8522727272727273,0.8205490196078431,29,"f1,f2,f3,f4,f5,f6,f7,f9,f11,f12,f13,f14,f15,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f30,f32,f33,f34",190,1.5898451996035874
ionosphere,knn5,0,,random,accuracy,0.8977272727272727,0.9090909090909091,0.9003961516694963,2,"f5,f32",1156,6.117629500105977
ionosphere,knn5,0,,random,macro_f1,0.888748419721871,0.9090909090909091,0.9003961516694963,2,"f5,f32",1156,7.208158900029957
ionosphere,knn5,1,43.0,baseline,none,,0.75,0.6848958333333333,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.00855529960244894
ionosphere,knn5,1,,sfs,accuracy,0.9659090909090909,0.8977272727272727,0.888748419721871,2,"f5,f10",99,0.2961729997768998
ionosphere,knn5,1,,sfs,macro_f1,0.9629161399072903,0.9090909090909091,0.9003961516694963,3,"f5,f10,f6",130,0.554524099919945
ionosphere,knn5,1,,sbs,accuracy,0.9318181818181818,0.7727272727272727,0.7206349206349206,33,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f29,f30,f31,f32,f33,f34",68,0.4578890996053815
ionosphere,knn5,1,,sbs,macro_f1,0.9228521332554063,0.7727272727272727,0.7206349206349206,33,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f29,f30,f31,f32,f33,f34",68,0.5246800002641976
ionosphere,knn5,1,,random,accuracy,0.9545454545454546,0.8863636363636364,0.8714202220923437,4,"f5,f10,f12,f34",1156,6.505899200215936
ionosphere,knn5,1,,random,macro_f1,0.9485680888369374,0.8863636363636364,0.8714202220923437,4,"f5,f10,f12,f34",1156,8.081601700279862
ionosphere,knn5,2,44.0,baseline,none,,0.875,0.851510967939868,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.010204000398516655
ionosphere,knn5,2,,sfs,accuracy,0.9204545454545454,0.8068181818181818,0.7596014783866303,2,"f25,f4",99,0.3607336999848485
ionosphere,knn5,2,,sfs,macro_f1,0.9091847265221877,0.8295454545454546,0.7929411764705883,3,"f25,f4,f16",130,0.5847364999353886
ionosphere,knn5,2,,sbs,accuracy,0.8863636363636364,0.8636363636363636,0.8362282878411911,32,"f1,f2,f3,f4,f6,f7,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.7561986004002392
ionosphere,knn5,2,,sbs,macro_f1,0.8664238008500303,0.8636363636363636,0.8362282878411911,32,"f1,f2,f3,f4,f6,f7,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.9153629001230001
ionosphere,knn5,2,,random,accuracy,0.9318181818181818,0.9204545454545454,0.910763436187165,5,"f1,f5,f8,f28,f34",1156,6.078762299846858
ionosphere,knn5,2,,random,macro_f1,0.9214285714285715,0.9204545454545454,0.910763436187165,5,"f1,f5,f8,f28,f34",1156,7.6259893998503685
ionosphere,knn5,3,45.0,baseline,none,,0.8636363636363636,0.8362282878411911,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.010408800095319748
ionosphere,knn5,3,,sfs,accuracy,0.9545454545454546,0.8977272727272727,0.8870990734141126,3,"f5,f16,f11",130,0.41659209970384836
ionosphere,knn5,3,,sfs,macro_f1,0.9485680888369374,0.8977272727272727,0.8870990734141126,3,"f5,f16,f11",130,0.5694905002601445
ionosphere,knn5,3,,sbs,accuracy,0.8636363636363636,0.8636363636363636,0.8362282878411911,32,"f1,f2,f3,f4,f5,f7,f8,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.7094948999583721
ionosphere,knn5,3,,sbs,macro_f1,0.8397085610200364,0.8636363636363636,0.8362282878411911,32,"f1,f2,f3,f4,f5,f7,f8,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.8056757003068924
ionosphere,knn5,3,,random,accuracy,0.8977272727272727,0.8522727272727273,0.8205490196078431,7,"f3,f13,f14,f15,f16,f18,f32",1156,6.873258700128645
ionosphere,knn5,3,,random,macro_f1,0.8832375055285272,0.9090909090909091,0.8971361776738749,5,"f3,f7,f8,f11,f33",1156,8.86632929975167
ionosphere,knn5,4,46.0,baseline,none,,0.8863636363636364,0.8664238008500303,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.011572500225156546
ionosphere,knn5,4,,sfs,accuracy,0.9204545454545454,0.8636363636363636,0.8482758620689655,3,"f32,f3,f10",130,0.44782730005681515
ionosphere,knn5,4,,sfs,macro_f1,0.9091847265221877,0.8068181818181818,0.775206611570248,3,"f32,f3,f24",130,0.7698554000817239
ionosphere,knn5,4,,sbs,accuracy,0.8181818181818182,0.8863636363636364,0.8690476190476191,32,"f1,f2,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.7485214998014271
ionosphere,knn5,4,,sbs,macro_f1,0.7708333333333333,0.8863636363636364,0.8690476190476191,32,"f1,f2,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.9448343999683857
ionosphere,knn5,4,,random,accuracy,0.9318181818181818,0.8863636363636364,0.8714202220923437,4,"f3,f6,f10,f19",1156,6.77299049962312
ionosphere,knn5,4,,random,macro_f1,0.9228521332554063,0.8863636363636364,0.8714202220923437,4,"f3,f6,f10,f19",1156,9.253301700111479
ionosphere,knn5,5,47.0,baseline,none,,0.7840909090909091,0.7242289295728187,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.010343699716031551
ionosphere,knn5,5,,sfs,accuracy,0.9659090909090909,0.8636363636363636,0.8428571428571429,3,"f6,f29,f4",130,0.4109468003734946
ionosphere,knn5,5,,sfs,macro_f1,0.9617557583659279,0.8636363636363636,0.8428571428571429,3,"f6,f29,f4",130,0.5687357001006603
ionosphere,knn5,5,,sbs,accuracy,0.8636363636363636,0.7840909090909091,0.7242289295728187,32,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33",100,0.7627257001586258
ionosphere,knn5,5,,sbs,macro_f1,0.8362282878411911,0.7840909090909091,0.7242289295728187,32,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33",100,0.8989780996926129
ionosphere,knn5,5,,random,accuracy,0.9204545454545454,0.8181818181818182,0.7942723553477499,2,"f6,f16",1156,6.1441726996563375
ionosphere,knn5,5,,random,macro_f1,0.9074380165289255,0.8181818181818182,0.7942723553477499,2,"f6,f16",1156,7.116406899876893
ionosphere,knn5,6,48.0,baseline,none,,0.7954545454545454,0.7485714285714286,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.009963199961930513
ionosphere,knn5,6,,sfs,accuracy,0.9772727272727273,0.8181818181818182,0.781637717121588,4,"f14,f13,f9,f32",160,0.4983918000943959
