dataset,classifier,method,selection_metric,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,n_selected_mean,n_selected_std,n_selected_min,n_selected_max,time_mean_sec,time_std_sec,subsets_mean
ionosphere,knn5,baseline,none,0.8337121212121212,0.03599481520668061,0.75,0.8977272727272727,0.7981296945769466,0.04815653459807909,0.6848958333333333,0.8832375055285272,34.0,0.0,34,34,0.07324582667012389,0.34034576880241624,0.0
ionosphere,knn5,random,accuracy,0.8621212121212121,0.04311508344909757,0.7386363636363636,0.9318181818181818,0.8413938107614899,0.05165195041395768,0.6825098039215687,0.9241379310344828,4.733333333333333,2.531638876755303,2,11,6.633447009996356,0.431128123594906,1156.0
ionosphere,knn5,random,macro_f1,0.8659090909090909,0.043899740692057224,0.7386363636363636,0.9318181818181818,0.8459774751215631,0.0531586536436102,0.6825098039215687,0.9241379310344828,4.333333333333333,2.4116575117588708,2,11,8.055282506670725,0.5508054536658606,1156.0
ionosphere,knn5,sbs,accuracy,0.8310606060606062,0.03251768778678408,0.7727272727272727,0.8863636363636364,0.7943477881530381,0.04333815569665795,0.7135416666666667,0.8690476190476191,31.733333333333334,1.1426929274467315,29,34,0.8249625200095276,0.27765033904225184,107.73333333333333
ionosphere,knn5,sbs,macro_f1,0.8321969696969697,0.03237358590441937,0.7727272727272727,0.8863636363636364,0.7960170995061883,0.042957640864301636,0.7135416666666667,0.8690476190476191,31.666666666666668,1.1244411127720089,29,34,0.9796978000008191,0.3264319619610678,109.83333333333333
ionosphere,knn5,sfs,accuracy,0.8731060606060606,0.046431826940731606,0.7272727272727273,0.9772727272727273,0.8556452570961762,0.05677949086076712,0.6724565756823822,0.9750990379173741,2.9,0.8030115728972382,2,5,0.48409381333816176,0.16387850089074332,126.63333333333334
ionosphere,knn5,sfs,macro_f1,0.8761363636363637,0.0423456831601835,0.7840909090909091,0.9772727272727273,0.8606662330074797,0.04871412729491285,0.7577864696508765,0.9750990379173741,3.066666666666667,0.8276819867946675,2,5,0.6864298333278082,0.17200649925734762,131.7
ionosphere,svm_rbf,baseline,none,0.9397727272727272,0.021343033485657744,0.8977272727272727,0.9772727272727273,0.9331726305413494,0.024016350214052778,0.8852672750977836,0.9750990379173741,34.0,0.0,34,34,0.007210479996865615,0.0031304419096053336,0.0
ionosphere,svm_rbf,random,accuracy,0.9261363636363636,0.020621488707734656,0.8863636363636364,0.9659090909090909,0.9177342677804282,0.023756909387800083,0.8714202220923437,0.9629161399072903,15.866666666666667,5.649127691791088,6,27,4.427176969998982,0.22118472315925367,1156.0
ionosphere,svm_rbf,random,macro_f1,0.9257575757575758,0.02018132865815041,0.8863636363636364,0.9659090909090909,0.9174122398193852,0.023169971119907245,0.8714202220923437,0.9629161399072903,15.8,5.536088498395683,6,25,5.925557673338335,0.3030200409459572,1156.0
